Target type`Target member`Assembly`.NET Framework`.NET Standard`Recommended changes
T:System.Web.Http.ExceptionHandling.ExceptionLoggerContext`T:System.Web.Http.ExceptionHandling.ExceptionLoggerContext`Voat.UI`Not supported`Not supported`
T:System.Web.Http.ExceptionHandling.ExceptionLoggerContext`M:System.Web.Http.ExceptionHandling.ExceptionLoggerContext.get_Exception`Voat.UI`Not supported`Not supported`
T:System.ComponentModel.DataAnnotations.RangeAttribute`T:System.ComponentModel.DataAnnotations.RangeAttribute`Voat.UI`Supported: 3.5+`Not supported`
T:System.ComponentModel.DataAnnotations.RangeAttribute`M:System.ComponentModel.DataAnnotations.RangeAttribute.#ctor(System.Int32,System.Int32)`Voat.UI`Supported: 3.5+`Not supported`
T:System.ComponentModel.DataAnnotations.RangeAttribute`M:System.ComponentModel.DataAnnotations.RangeAttribute.get_Maximum`Voat.UI`Supported: 3.5+`Not supported`
T:System.ComponentModel.DataAnnotations.RangeAttribute`M:System.ComponentModel.DataAnnotations.RangeAttribute.get_Minimum`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.Http.Description.ApiParameterDescription`T:System.Web.Http.Description.ApiParameterDescription`Voat.UI`Not supported`Not supported`
T:System.Web.Http.Description.ApiParameterDescription`M:System.Web.Http.Description.ApiParameterDescription.get_Documentation`Voat.UI`Not supported`Not supported`
T:System.Web.Http.Description.ApiParameterDescription`M:System.Web.Http.Description.ApiParameterDescription.get_Name`Voat.UI`Not supported`Not supported`
T:System.Web.Http.Description.ApiParameterDescription`M:System.Web.Http.Description.ApiParameterDescription.get_ParameterDescriptor`Voat.UI`Not supported`Not supported`
T:System.Web.Http.Description.ApiParameterDescription`M:System.Web.Http.Description.ApiParameterDescription.get_Source`Voat.UI`Not supported`Not supported`
T:System.Web.HttpRequestBase`T:System.Web.HttpRequestBase`Voat.UI`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`T:System.Web.HttpRequestBase`Voat.Tests`Supported: 3.5+`Not supported`
T:System.Web.HttpRequestBase`T:System.Web.HttpRequestBase`Voat.Business`Supported: 3.5+`Not supported`
